"power","lat","lon","cadence","distance","time","index","racetime","athlete","km","kph","grade"
573,53.59132,10.024123,107,5946.2,6706,1355,603,"B",NA,NA,NA
NA,53.591351,10.023475,33,852.6,3506,192,603,"C",NA,NA,NA
554,53.5913619,10.02355071,104,NA,19,19,603,"D",0.17226,45.7164,-4.64693
577,53.59142058,10.02347837,109,NA,7224,906,603,"E",4.18196,46.0872,0
453,53.59124,10.02479,102,4006.8,6582,805,604,"A",NA,NA,NA
491,53.591304,10.024322,108,5959.5,6707,1356,604,"B",NA,NA,NA
NA,53.591328,10.023685,33,868.5,3507,193,604,"C",NA,NA,NA
518,53.59132486,10.02374617,106,NA,20,20,604,"D",0.18586,45.8208,-4.37333
508,53.59139551,10.02367191,110,NA,7225,907,604,"E",4.19506,47.7324,-0.15267
453,53.591225,10.024991,103,4020.3,6583,806,605,"A",NA,NA,NA
406,53.591289,10.024524,110,5973,6708,1357,605,"B",NA,NA,NA
NA,53.591301,10.023894,33,885.8,3508,194,605,"C",NA,NA,NA
483,53.59129594,10.02394533,108,NA,21,21,605,"D",0.19943,47.8152,-4.13803
520,53.59137313,10.02387542,111,NA,7226,908,605,"E",4.20876,48.0672,-0.298659
414,53.591206,10.0252,104,4034.2,6584,807,606,"A",NA,NA,NA
464,53.591274,10.024728,110,5986.6,6709,1358,606,"B",NA,NA,NA
NA,53.591281,10.024101,33,903.3,3509,195,606,"C",NA,NA,NA
456,53.59127381,10.0241527,104,NA,22,22,606,"D",0.21335,48.15,-4.42539
516,53.59135612,10.02407902,111,NA,7227,909,606,"E",4.22237,48.5064,-0.445611
449,53.59119,10.025408,104,4048.1,6585,808,607,"A",NA,NA,NA
579,53.591257,10.024936,111,6000.5,6710,1359,607,"B",NA,NA,NA
NA,53.591265,10.024305,33,919.4,3510,196,607,"C",NA,NA,NA
473,53.59125654,10.02436518,104,NA,23,23,607,"D",0.22754,49.1544,-4.21486
504,53.59133793,10.0242832,111,NA,7228,910,607,"E",4.23601,49.176,-0.738864
454,53.591175,10.025613,105,4061.8,6586,809,608,"A",NA,NA,NA
500,53.591236,10.02515,112,6014.8,6711,1360,608,"B",NA,NA,NA
NA,53.591252,10.024512,33,934.9,3511,197,608,"C",NA,NA,NA
488,53.59124598,10.02458202,103,NA,24,24,608,"D",0.24196,49.176,-3.61063
464,53.59132376,10.02449728,111,NA,7229,911,608,"E",4.25027,49.5792,-0.738864
454,53.591148,10.025822,106,4075.9,6587,810,609,"A",NA,NA,NA
447,53.591218,10.025364,105,6029.2,6712,1361,609,"B",NA,NA,NA
NA,53.591248,10.024748,33,949.9,3512,198,609,"C",NA,NA,NA
467,53.59123676,10.02480389,100,NA,25,25,609,"D",0.25671,50.0112,-2.56874
448,53.59131639,10.02470791,112,NA,7230,912,609,"E",4.26424,50.3532,-0.88203
452,53.591129,10.026036,106,4090.3,6588,811,610,"A",NA,NA,NA
480,53.591196,10.025577,104,6043.4,6713,1362,610,"B",NA,NA,NA
NA,53.59123,10.024995,33,965.8,3513,199,610,"C",NA,NA,NA
484,53.59122067,10.02501964,101,NA,26,26,610,"D",0.27112,51.3648,-1.21162
468,53.59130021,10.02492878,113,NA,7231,913,610,"E",4.27897,51.7968,-1.15359
438,53.591106,10.02625,99,4104.7,6589,812,611,"A",NA,NA,NA
474,53.591173,10.025785,105,6057.5,6714,1363,611,"B",NA,NA,NA
NA,53.591216,10.02522,33,983,3514,200,611,"C",NA,NA,NA
497,53.59120307,10.02523983,102,NA,27,27,611,"D",0.28581,51.2748,0.295508
498,53.59128102,10.02514469,114,NA,7232,914,611,"E",4.29342,51.7284,-1.29199
487,53.591087,10.026464,93,4119,6590,813,612,"A",NA,NA,NA
539,53.59115,10.02599,105,6071.2,6715,1364,612,"B",NA,NA,NA
NA,53.591201,10.025447,33,998.8,3515,201,612,"C",NA,NA,NA
476,53.59118991,10.02545835,103,NA,28,28,612,"D",0.30039,50.9724,1.6099
491,53.59126031,10.02535961,114,NA,7233,915,612,"E",4.30783,51.6276,-1.43078
457,53.591072,10.026665,91,4132.5,6591,814,613,"A",NA,NA,NA
499,53.591126,10.026197,106,6085.3,6716,1365,613,"B",NA,NA,NA
NA,53.591174,10.025673,33,1014.9,3516,202,613,"C",NA,NA,NA
516,53.59116954,10.02566638,102,NA,29,29,613,"D",0.31434,50.6808,2.19589
446,53.59124162,10.02557519,112,NA,7234,916,613,"E",4.32226,51.426,-1.43078
419,53.591057,10.026863,92,4145.7,6592,815,614,"A",NA,NA,NA
467,53.591096,10.026421,106,6100.4,6717,1366,614,"B",NA,NA,NA
NA,53.59115,10.025908,33,1030.1,3517,203,614,"C",NA,NA,NA
496,53.59114263,10.02587568,104,NA,30,30,614,"D",0.32851,51.9264,2.47818
438,53.59121681,10.02579555,110,NA,7235,917,614,"E",4.33711,51.2244,-1.41279
398,53.591038,10.027054,91,4158.5,6593,816,615,"A",NA,NA,NA
439,53.591073,10.026632,105,6114.7,6718,1367,615,"B",NA,NA,NA
NA,53.591125,10.026133,33,1045.8,3518,204,615,"C",NA,NA,NA
477,53.59111858,10.0260859,104,NA,31,31,615,"D",0.34269,50.418,2.33714
435,53.59119753,10.02601641,110,NA,7236,918,615,"E",4.35189,50.958,-1.2668
480,53.591019,10.02725,91,4171.7,6594,817,616,"A",NA,NA,NA
522,53.591051,10.026842,106,6128.8,6719,1368,616,"B",NA,NA,NA
NA,53.591096,10.026357,33,1062.1,3519,205,616,"C",NA,NA,NA
462,53.59110391,10.02630534,104,NA,32,32,616,"D",0.35732,50.5872,2.07767
448,53.5911749,10.02624281,110,NA,7237,919,616,"E",4.36709,52.1316,-1.25143
465,53.591007,10.027453,91,4185.2,6595,818,617,"A",NA,NA,NA
565,53.591029,10.02705,106,6142.8,6720,1369,617,"B",NA,NA,NA
NA,53.591072,10.02659,33,1078.1,3520,206,617,"C",NA,NA,NA
457,53.59108991,10.02651849,104,NA,33,33,617,"D",0.37154,50.184,1.93702
459,53.5911495,10.02647633,110,NA,7238,920,617,"E",4.38281,52.8732,-0.958176
454,53.590996,10.027658,91,4198.8,6596,819,618,"A",NA,NA,NA
496,53.591009,10.027266,107,6157.2,6721,1370,618,"B",NA,NA,NA
NA,53.591051,10.026815,33,1094.4,3521,207,618,"C",NA,NA,NA
444,53.59106786,10.02673793,103,NA,34,34,618,"D",0.38626,50.238,1.39355
436,53.59112386,10.02669568,110,NA,7239,921,618,"E",4.3976,51.6636,-1.09341
444,53.590988,10.027863,91,4212.4,6597,820,619,"A",NA,NA,NA
496,53.590987,10.027478,106,6171.5,6722,1371,619,"B",NA,NA,NA
NA,53.59103,10.027046,33,1110.7,3522,208,619,"C",NA,NA,NA
457,53.59104792,10.02696147,104,NA,35,35,619,"D",0.40123,50.8824,1.25596
382,53.59110257,10.02691403,111,NA,7240,922,619,"E",4.41225,51.426,-0.95024
435,53.590992,10.028066,91,4225.8,6598,821,620,"A",NA,NA,NA
411,53.590971,10.027691,106,6185.7,6723,1372,620,"B",NA,NA,NA
NA,53.591007,10.027273,33,1126.1,3523,209,620,"C",NA,NA,NA
458,53.59102671,10.02717873,103,NA,36,36,620,"D",0.4158,51.2568,1.38866
402,53.59108278,10.02713347,111,NA,7241,923,620,"E",4.42695,51.7284,-0.814742
424,53.591003,10.02827,91,4239.4,6599,822,621,"A",NA,NA,NA
434,53.590964,10.027904,106,6199.8,6724,1373,621,"B",NA,NA,NA
NA,53.590985,10.027498,33,1141,3524,210,621,"C",NA,NA,NA
441,53.5910107,10.02739574,103,NA,37,37,621,"D",0.43026,49.4496,0.571774
476,53.59106351,10.02735509,111,NA,7242,924,621,"E",4.44178,51.7968,-0.676335
416,53.591011,10.028474,91,4252.9,6600,823,622,"A",NA,NA,NA
428,53.590964,10.028114,106,6213.8,6725,1374,622,"B",NA,NA,NA
NA,53.590981,10.02773,33,1156.5,3525,211,622,"C",NA,NA,NA
416,53.59099159,10.02760285,97,NA,38,38,622,"D",0.44418,50.7816,-0.120602
468,53.59104758,10.02757369,111,NA,7243,925,622,"E",4.45636,51.7644,-0.537544
372,53.591023,10.028673,91,4266.2,6601,824,623,"A",NA,NA,NA
402,53.590972,10.028323,105,6227.6,6726,1375,623,"B",NA,NA,NA
NA,53.590978,10.027962,33,1172.1,3526,212,623,"C",NA,NA,NA
466,53.59097508,10.02781567,95,NA,39,39,623,"D",0.45839,51.012,-0.832201
400,53.59103367,10.02780343,110,NA,7244,926,623,"E",4.47164,52.2,-0.537544
356,53.591042,10.028874,90,4279.7,6602,825,624,"A",NA,NA,NA
383,53.590985,10.028535,105,6241.7,6727,1376,624,"B",NA,NA,NA
NA,53.590974,10.028193,33,1187.5,3527,213,624,"C",NA,NA,NA
443,53.59096996,10.02803511,95,NA,40,40,624,"D",0.47295,50.7888,-1.11449
359,53.59102855,10.02802731,110,NA,7245,927,624,"E",4.48647,51.5628,-0.402865
376,53.591072,10.029068,90,4292.9,6603,826,625,"A",NA,NA,NA
350,53.591003,10.028739,104,6255.4,6728,1377,625,"B",NA,NA,NA
NA,53.590984,10.02841,33,1202.7,3528,214,625,"C",NA,NA,NA
434,53.59097457,10.02825388,98,NA,41,41,625,"D",0.48743,51.4836,-1.38781
321,53.59103216,10.028246,110,NA,7246,928,625,"E",4.50093,51.4944,-0.402865
400,53.591103,10.029263,93,4306.3,6604,827,626,"A",NA,NA,NA
303,53.591032,10.028943,103,6269.3,6729,1378,626,"B",NA,NA,NA
NA,53.590994,10.028629,33,1217.9,3529,215,626,"C",NA,NA,NA
429,53.59098304,10.02846602,101,NA,42,42,626,"D",0.50152,49.8636,-0.415153
321,53.59104037,10.02847189,110,NA,7247,929,626,"E",4.5159,51.1236,-0.271288
469,53.591145,10.029457,96,4320,6605,828,627,"A",NA,NA,NA
241,53.591067,10.029141,101,6282.9,6730,1379,627,"B",NA,NA,NA
NA,53.591001,10.02884,33,1232.7,3530,216,627,"C",NA,NA,NA
435,53.5909962,10.02867985,102,NA,43,43,627,"D",0.51581,50.2164,-0.274506
340,53.59106183,10.0286899,110,NA,7248,930,627,"E",4.5305,52.2,-0.271288
419,53.591198,10.02964,96,4333.5,6606,829,628,"A",NA,NA,NA
143,53.591108,10.029338,70,6296.8,6731,1380,628,"B",NA,NA,NA
NA,53.591018,10.029045,33,1247,3531,217,628,"C",NA,NA,NA
